country_zip;country_code;country;zip;municipality;county;region;address_count
CZ-25722;CZ;Česko;25722;Přestavlky u Čerčan;Benešov;Středočeský kraj;89
CZ-25722;CZ;Česko;25722;Čerčany;Benešov;Středočeský kraj;1196
CZ-25722;CZ;Česko;25722;Nespeky;Benešov;Středočeský kraj;736
CZ-25722;CZ;Česko;25722;Čtyřkoly;Benešov;Středočeský kraj;702
CZ-25722;CZ;Česko;25722;Poříčí nad Sázavou;Benešov;Středočeský kraj;257
CZ-25723;CZ;Česko;25723;Přestavlky u Čerčan;Benešov;Středočeský kraj;247
CZ-25724;CZ;Česko;25724;Vodslivy;Benešov;Středočeský kraj;44
CZ-25724;CZ;Česko;25724;Vranov;Benešov;Středočeský kraj;14
CZ-25724;CZ;Česko;25724;Ostředek;Benešov;Středočeský kraj;213
CZ-25724;CZ;Česko;25724;Hvězdonice;Benešov;Středočeský kraj;202
CZ-25724;CZ;Česko;25724;Čakov;Benešov;Středočeský kraj;63
CZ-25724;CZ;Česko;25724;Chocerady;Benešov;Středočeský kraj;1144
CZ-25726;CZ;Česko;25726;Třebešice;Benešov;Středočeský kraj;71
CZ-25726;CZ;Česko;25726;Všechlapy;Benešov;Středočeský kraj;140
CZ-25726;CZ;Česko;25726;Litichovice;Benešov;Středočeský kraj;47
CZ-25726;CZ;Česko;25726;Drahňovice;Benešov;Středočeský kraj;75
CZ-25726;CZ;Česko;25726;Slověnice;Benešov;Středočeský kraj;51
CZ-25726;CZ;Česko;25726;Ostředek;Benešov;Středočeský kraj;57
CZ-25726;CZ;Česko;25726;Libež;Benešov;Středočeský kraj;195
CZ-25726;CZ;Česko;25726;Divišov;Benešov;Středočeský kraj;851
CZ-25726;CZ;Česko;25726;Český Šternberk;Benešov;Středočeský kraj;353
CZ-25726;CZ;Česko;25726;Bílkovice;Benešov;Středočeský kraj;109
CZ-25728;CZ;Česko;25728;Chotýšany;Benešov;Středočeský kraj;195
CZ-25741;CZ;Česko;25741;Chářovice;Benešov;Středočeský kraj;84
CZ-25741;CZ;Česko;25741;Krhanice;Benešov;Středočeský kraj;108
CZ-25741;CZ;Česko;25741;Týnec nad Sázavou;Benešov;Středočeský kraj;1772
CZ-25741;CZ;Česko;25741;Chleby;Benešov;Středočeský kraj;31
